drop,holy panda,tactile,67g
drop,halo true,tactile,54g
drop,halo clear,tactile,52g
kailh,box white,clicky,50g
kailh,box glazed green,clicky,50g
kailh,box jade,clicky,50g
kailh,box pale blue,clicky,60g
kinetic labs,gecko silent,linear,54g
gateron,oil king,linear,55g
kinetic labs,moon v2,linear,60g
kinetic labs,salmon,tactile,62g
gateron,ink black v2,linear,60g
gateron,ink red v2,linear,45g
chosfox,hanami dango pink,linear,48g
chosfox,hanami dango green,tactile,55g
chosfox,voyager,tactile,45g
gateron,beer,tactile,50g
gateron,baby kangaroo v2,tactile,55g
durock,pom,linear,48g
durock,blue lotus,tactile,60g
kinetic labs,hippo,linear,60g
kinetic labs,husky,linear,60g
durock,white lotus,tactile,46g
gateron,melodic,clicky,50g
durock,sea glass,linear,55g
